STUDENT_ID,CLASSIFICATION,PRIMARY_COLLEGE,SECONDARY_COLLEGE,HC_OR_COE,USAGE_OVER_LAST_90_DAYS
934268614,Graduate,College of Engineering,N/A,COE,2
934269596,Senior,College of Engineering,N/A,COE,3
934270113,Senior,College of Engineering,N/A,COE,2
934271961,Senior,College of Engineering,N/A,COE,5
934272231,Junior,College of Engineering,N/A,Both,0
934272372,Junior,College of Engineering,N/A,COE,19
934272410,Junior,College of Engineering,N/A,COE,0
934272633,Senior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934272777,Senior,College of Engineering,College of Science,COE,0
934274340,Sophomore,College of Engineering,N/A,COE,3
934284251,Senior,College of Engineering,N/A,COE,0
934284778,Senior,College of Engineering,N/A,COE,0
934284944,Senior,College of Business,College of Liberal Arts,HC,0
934286845,Freshman,College of Engineering,N/A,COE,0
934287825,Junior,College of Engineering,N/A,COE,1
934289702,Sophomore,College of Engineering,N/A,COE,0
934290365,Senior,College of Engineering,N/A,COE,1
934292334,Junior,College of Engineering,N/A,COE,0
934297927,Senior,College of Liberal Arts,N/A,HC,0
934300125,Junior,College of Engineering,N/A,COE,0
934303491,Senior,College of Engineering,N/A,COE,5
934303746,Senior,College of Engineering,N/A,COE,2
934306004,Graduate,College of Engineering,N/A,COE,10
934310925,Junior,College of Engineering,N/A,COE,5
934311471,Junior,College of Engineering,N/A,COE,0
934312191,Senior,College of Engineering,N/A,COE,1
934312789,Senior,College of Liberal Arts,College of Education,HC,0
934315400,Graduate,College of Engineering,N/A,COE,4
934316752,Junior,College of Engineering,N/A,COE,12
934317625,Graduate,College of Engineering,N/A,COE,3
934318859,Sophomore,College of Engineering,N/A,Both,1
934319650,Sophomore,College of Engineering,N/A,COE,0
934320233,Senior,College of Engineering,N/A,Both,0
934320444,Senior,College of Engineering,N/A,COE,0
934323010,Graduate,College of Engineering,N/A,COE,0
934323187,Senior,College of Engineering,N/A,COE,0
934325206,Senior,College of Engineering,N/A,COE,2
934327200,Sophomore,College of Liberal Arts,N/A,HC,0
934328752,Junior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934330706,Senior,College of Engineering,N/A,COE,11
934331603,Senior,College of Engineering,N/A,COE,1
934332401,Junior,College of Engineering,N/A,COE,2
934336596,Graduate,College of Engineering,N/A,COE,2
934336742,Senior,College of Science,N/A,HC,3
934336761,Senior,College of Engineering,N/A,COE,0
934339574,Graduate,College of Engineering,N/A,COE,1
934339689,Senior,College of Engineering,N/A,COE,2
934342386,Junior,College of Engineering,N/A,COE,1
934347910,Sophomore,College of Engineering,N/A,COE,2
934348229,Graduate,College of Engineering,N/A,COE,1
934351541,Sophomore,College of Engineering,N/A,COE,5
934352581,Sophomore,College of Engineering,N/A,COE,0
934353908,Junior,College of Science,N/A,HC,0
934354479,Graduate,College of Engineering,N/A,COE,3
934354607,Sophomore,College of Engineering,N/A,COE,0
934354770,Graduate,College of Engineering,N/A,COE,0
934354835,Senior,College of Engineering,N/A,COE,0
934355756,Junior,College of Engineering,N/A,Both,0
934355759,Junior,College of Engineering,N/A,COE,7
934356034,Graduate,College of Engineering,N/A,COE,12
934356517,Junior,College of Engineering,N/A,COE,0
934356901,Senior,College of Engineering,N/A,COE,0
934357046,Freshman,College of Engineering,N/A,COE,1
934357408,Senior,College of Engineering,N/A,COE,0
934358646,Junior,College of Engineering,N/A,COE,2
934358689,Sophomore,College of Engineering,N/A,COE,2
934358695,Senior,College of Engineering,N/A,COE,2
934358769,Junior,College of Engineering,N/A,COE,6
934358841,Sophomore,College of Engineering,N/A,COE,19
934358849,Sophomore,College of Engineering,N/A,COE,0
934359136,Junior,College of Engineering,N/A,COE,1
934360302,Junior,College of Engineering,N/A,COE,4
934361624,Senior,College of Engineering,N/A,COE,4
934362841,Junior,College of Engineering,N/A,COE,8
934364490,Senior,College of Engineering,N/A,COE,2
934364535,Senior,College of Engineering,N/A,COE,12
934364893,Senior,College of Science,College of Public Health and Human Sciences,HC,0
934365154,Sophomore,College of Engineering,N/A,COE,0
934365545,Graduate,College of Engineering,N/A,COE,0
934366505,Junior,College of Engineering,N/A,COE,2
934367722,Senior,College of Engineering,N/A,COE,2
934368090,Graduate,College of Engineering,N/A,COE,5
934368722,Senior,College of Engineering,N/A,COE,1
934370181,Graduate,College of Engineering,N/A,COE,0
934370841,Junior,College of Business,N/A,HC,5
934371157,Graduate,College of Engineering,N/A,COE,0
934371361,Graduate,College of Engineering,N/A,COE,0
934373011,Senior,College of Engineering,N/A,COE,2
934375000,Graduate,College of Engineering,N/A,COE,14
934375090,Sophomore,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934376274,Graduate,College of Engineering,N/A,COE,1
934376546,Junior,College of Engineering,N/A,COE,2
934377372,Senior,College of Engineering,N/A,COE,1
934377684,Junior,College of Engineering,N/A,COE,0
934379635,Junior,College of Engineering,N/A,COE,2
934379639,Junior,College of Engineering,N/A,COE,4
934381449,Junior,College of Engineering,N/A,COE,2
934381778,Graduate,College of Engineering,N/A,COE,3
934382167,Graduate,College of Engineering,N/A,COE,1
934382802,Graduate,College of Engineering,N/A,COE,0
934383529,Senior,College of Agricultural Sciences,N/A,HC,0
934386034,Senior,College of Science,N/A,HC,5
934386306,Graduate,College of Engineering,N/A,COE,1
934386707,Senior,College of Engineering,N/A,COE,1
934386903,Graduate,College of Engineering,N/A,COE,0
934387432,Junior,College of Engineering,N/A,COE,1
934390826,Senior,College of Science,N/A,HC,0
934391369,Senior,College of Liberal Arts,College of Agricultural Sciences,HC,0
934391455,Junior,College of Engineering,N/A,COE,4
934392190,Junior,College of Forestry,N/A,HC,0
934393087,Senior,College of Science,College of Veterinary Medicine,HC,0
934393403,Senior,College of Engineering,N/A,COE,8
934393568,Sophomore,College of Science,N/A,HC,0
934393850,Senior,College of Engineering,N/A,COE,1
934396305,Graduate,College of Engineering,N/A,COE,2
934397341,Sophomore,College of Engineering,N/A,COE,0
934397850,Senior,College of Engineering,N/A,Both,2
934398461,Graduate,College of Engineering,N/A,COE,2
934400321,Senior,College of Engineering,N/A,COE,3
934401077,Junior,College of Engineering,N/A,COE,0
934401896,Senior,College of Engineering,N/A,Both,0
934401998,Sophomore,College of Engineering,N/A,Both,0
934402732,Senior,College of Engineering,College of Science,Both,0
934402807,Senior,College of Agricultural Sciences,N/A,HC,0
934402854,Junior,College of Engineering,N/A,COE,0
934402865,Senior,College of Agricultural Sciences,N/A,HC,0
934403171,Junior,College of Engineering,N/A,Both,0
934403717,Junior,College of Engineering,N/A,Both,2
934403860,Senior,College of Science,N/A,HC,0
934404663,Senior,College of Liberal Arts,College of Engineering,Both,0
934405090,Junior,College of Liberal Arts,N/A,HC,0
934405848,Graduate,College of Engineering,N/A,COE,1
934405991,Sophomore,College of Engineering,N/A,COE,1
934405997,Senior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,2
934406200,Graduate,College of Agricultural Sciences,N/A,HC,0
934406302,Freshman,College of Engineering,N/A,COE,0
934407369,Senior,College of Engineering,"College of Earth, Ocean, and Atmospheric Sciences",Both,1
934407408,Senior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934407412,Junior,College of Engineering,N/A,Both,4
934407430,Senior,College of Science,N/A,HC,0
934407742,Graduate,College of Engineering,N/A,COE,0
934407878,Sophomore,College of Engineering,N/A,COE,2
934408133,Senior,College of Engineering,N/A,COE,0
934410467,Senior,College of Engineering,N/A,COE,0
934411016,Freshman,College of Engineering,N/A,Both,12
934411083,Junior,College of Engineering,N/A,COE,19
934411561,Senior,College of Engineering,N/A,Both,0
934411836,Junior,College of Engineering,N/A,COE,0
934411874,Senior,College of Engineering,N/A,Both,0
934412494,Graduate,College of Engineering,N/A,COE,0
934412767,Sophomore,College of Engineering,N/A,COE,2
934412770,Sophomore,College of Liberal Arts,N/A,HC,0
934412804,Graduate,College of Engineering,N/A,COE,0
934413426,Senior,College of Science,College of Liberal Arts,HC,0
